2016-10-22 08:38:11	7925767e2eb2cccfec0d39595b260a38.5808708dca7859.13662402	114.160.237.147	p7147-ipngnfx01osakakita.osaka.ocn.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-22%2008%3A38%3A15%3A941%22%7D/x.js	Mozilla/5.0 (Linux; Android 6.0; MotoE2(4G-LTE) Build/MPI24.65-39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-22 08:45:53	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	124.103.242.50	p146050-ipngn200502kyoto.kyoto.ocn.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-22%2008%3A45%3A50%3A394%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-22 10:05:01	c1e4ac2d0293819a80567b4503b221d5.58081add7f2f18.52432258	61.114.249.1	host1.n061-114-249-000.pri.iprevolution.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-22%2010%3A05%3A01%3A464%22%7D/x.js	Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-22 11:50:27	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	126.28.95.180	softbank126028095180.bbtec.net	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-22%2011%3A50%3A26%3A255%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-22 11:50:47	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	126.28.95.180	softbank126028095180.bbtec.net	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-22%2011%3A50%3A46%3A961%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-22 11:51:22	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	126.28.95.180	softbank126028095180.bbtec.net	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22gcvAPI%22%2C%22time%22%3A%222016-10-22%2011%3A51%3A21%3A037%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-22 11:51:32	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	126.28.95.180	softbank126028095180.bbtec.net	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E8%A5%BF%22%2C%22time%22%3A%222016-10-22%2011%3A51%3A31%3A524%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-22 11:51:33	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	126.28.95.180	softbank126028095180.bbtec.net	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E8%A5%BF%E7%A5%9E%22%2C%22time%22%3A%222016-10-22%2011%3A51%3A32%3A420%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-22 11:51:35	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	126.28.95.180	softbank126028095180.bbtec.net	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E8%A5%BF%E7%A5%9E%E6%88%B8%22%2C%22time%22%3A%222016-10-22%2011%3A51%3A34%3A542%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-22 11:51:36	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	126.28.95.180	softbank126028095180.bbtec.net	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E8%A5%BF%E7%A5%9E%E6%88%B8%E8%A6%B3%22%2C%22time%22%3A%222016-10-22%2011%3A51%3A35%3A381%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-22 11:51:37	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	126.28.95.180	softbank126028095180.bbtec.net	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E8%A5%BF%E7%A5%9E%E6%88%B8%E8%A6%B3%E5%85%89%22%2C%22time%22%3A%222016-10-22%2011%3A51%3A36%3A162%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
