2016-10-28 05:17:49	85cc5aac9ec2e7c43d2edd8b6a3ab444.581260ed5d58e9.97470433	88.123.43.84	ams80-4-88-123-43-84.fbx.proxad.net	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-27%2022%3A17%3A48%3A511%22%7D/x.js	Mozilla/5.0 (Windows NT 5.1; rv:49.0) Gecko/20100101 Firefox/49.0
2016-10-28 10:49:44	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-28%2010%3A49%3A44%3A466%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-28 10:50:10	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-28%2010%3A50%3A10%3A775%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-28 10:50:14	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-28%2010%3A50%3A14%3A651%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-28 10:50:32	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22gcvAPI%22%2C%22time%22%3A%222016-10-28%2010%3A50%3A32%3A101%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-28 10:50:51	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%82%B3%E3%83%BC%E3%83%92%22%2C%22time%22%3A%222016-10-28%2010%3A50%3A50%3A887%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-28 10:50:59	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%82%BF%E3%83%AA%E3%83%BC%E3%82%BA%22%2C%22time%22%3A%222016-10-28%2010%3A50%3A58%3A765%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-28 10:51:00	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22search%22%2C%22string%22%3A%22%E3%82%BF%E3%83%AA%E3%83%BC%E3%82%BA%22%2C%22time%22%3A%222016-10-28%2010%3A51%3A00%3A298%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-28 10:51:03	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22detailShow%22%2C%22string%22%3A%22%E3%82%BF%E3%83%AA%E3%83%BC%E3%82%BA%22%2C%22recipes%22%3A%5B%5D%2C%22VOD%22%3A%5B%5D%2C%22time%22%3A%222016-10-28%2010%3A51%3A03%3A089%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-28 10:51:19	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-28%2010%3A51%3A19%3A268%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-28 10:51:20	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-28%2010%3A51%3A20%3A435%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
