2016-11-07 08:33:54	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	119.106.0.6	KD119106000006.ppp-bb.dion.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2008%3A33%3A54%3A334%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-11-07 10:51:54	3ffed7e823235d7b69bbe6d6d041922c.5804e4f97ed9c8.57545443	122.212.217.82	122x212x217x82.ap122.ftth.ucom.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2010%3A51%3A52%3A689%22%7D/x.js	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36
2016-11-07 10:52:00	3ffed7e823235d7b69bbe6d6d041922c.5804e4f97ed9c8.57545443	122.212.217.82	122x212x217x82.ap122.ftth.ucom.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2010%3A51%3A58%3A661%22%7D/x.js	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36
2016-11-07 10:52:05	3ffed7e823235d7b69bbe6d6d041922c.5804e4f97ed9c8.57545443	122.212.217.82	122x212x217x82.ap122.ftth.ucom.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2010%3A52%3A04%3A174%22%7D/x.js	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36
2016-11-07 15:08:43	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A08%3A42%3A807%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:08:59	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A08%3A59%3A210%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:09:18	a577a018a38e33733b85874abbc32db6.58201a8e67aae0.19531866	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A09%3A20%3A856%22%7D/x.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-11-07 15:09:47	a577a018a38e33733b85874abbc32db6.58201a8e67aae0.19531866	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A09%3A49%3A552%22%7D/x.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-11-07 15:09:49	a577a018a38e33733b85874abbc32db6.58201a8e67aae0.19531866	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A09%3A52%3A054%22%7D/x.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-11-07 15:09:50	a577a018a38e33733b85874abbc32db6.58201a8e67aae0.19531866	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A09%3A53%3A029%22%7D/x.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-11-07 15:09:54	a577a018a38e33733b85874abbc32db6.58201a8e67aae0.19531866	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A09%3A56%3A701%22%7D/x.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
